name;stars;age_days;prs;releases;update_days;language;issues_ratio
codecrafters-io/build-your-own-x;472812;2858;155;0;13;Markdown;73.54%
sindresorhus/awesome;443047;4256;694;0;1;Unknown;95.62%
freeCodeCamp/freeCodeCamp;437840;4089;27778;0;0;TypeScript;99.18%
public-apis/public-apis;404667;3637;1872;0;14;Python;99.28%
EbookFoundation/free-programming-books;383664;4529;7331;0;0;Python;97.23%
kamranahmedse/developer-roadmap;350302;3278;4075;1;0;TypeScript;99.03%
jwasham/coding-interview-university;337632;3560;415;0;190;Unknown;86.48%
donnemartin/system-design-primer;337526;3294;203;0;123;Python;30.56%
vinta/awesome-python;285857;4269;641;0;1;Python;0.00%
awesome-selfhosted/awesome-selfhosted;277819;3931;2395;1;6;Unknown;100.00%
996icu/996.ICU;275665;2537;1072;0;196;Unknown;0.00%
openclaw/openclaw;269836;102;2777;59;0;TypeScript;64.72%
practical-tutorials/project-based-learning;260353;3250;182;0;568;Unknown;36.12%
facebook/react;243668;4668;12774;118;0;JavaScript;94.37%
torvalds/linux;221157;5296;0;0;0;C;0.00%
TheAlgorithms/Python;218387;3520;3046;0;3;Python;90.48%
vuejs/vue;209962;4603;1136;249;512;TypeScript;96.42%
trimstray/the-book-of-secret-knowledge;208895;2813;122;0;472;Unknown;0.00%
ossu/computer-science;202161;4324;305;0;2;HTML;98.20%
trekhleb/javascript-algorithms;195743;2904;304;0;16;JavaScript;62.80%
tensorflow/tensorflow;194012;3772;42339;221;0;C++;97.83%
ohmyzsh/ohmyzsh;185145;6033;3517;0;0;Shell;97.18%
getify/You-Dont-Know-JS;184465;4493;370;0;19;Unknown;100.00%
CyC2018/CS-Notes;183824;2942;374;0;562;Unknown;77.68%
microsoft/vscode;182362;3836;43349;197;0;TypeScript;94.20%
Significant-Gravitas/AutoGPT;182217;1086;3975;94;0;Python;93.85%
jackfrued/Python-100-Days;179328;2926;13;0;9;Jupyter Notebook;26.44%
n8n-io/n8n;177862;2449;14126;548;0;TypeScript;94.34%
flutter/flutter;175446;4017;46938;7;0;Dart;89.18%
twbs/bootstrap;174028;5333;9114;94;0;MDX;98.30%
github/gitignore;172854;5596;1727;0;21;Unknown;0.00%
massgravel/Microsoft-Activation-Scripts;167870;2244;5;29;12;Batchfile;99.78%
avelino/awesome-go;166693;4261;3610;0;0;Go;98.07%
ollama/ollama;164273;983;3073;189;0;Go;79.03%
AUTOMATIC1111/stable-diffusion-webui;161520;1292;1884;27;4;Python;69.57%
jlevy/the-art-of-command-line;160105;3942;317;0;618;Unknown;52.71%
huggingface/transformers;157492;2685;18743;244;0;Python;94.21%
Snailclimb/JavaGuide;154076;2860;1213;0;2;Java;93.37%
DigitalPlatDev/FreeDomain;150964;645;1;0;3;HTML;0.00%
f/prompts.chat;150337;1187;201;0;0;HTML;97.71%
yt-dlp/yt-dlp;149881;1957;3229;131;2;Python;83.63%
airbnb/javascript;148099;4872;813;0;10;JavaScript;92.65%
langflow-ai/langflow;145313;1121;5794;285;0;Python;89.22%
521xueweihan/HelloGitHub;145004;3593;17;63;6;Python;90.45%
ytdl-org/youtube-dl;139807;5605;1646;341;14;Python;86.47%
vercel/next.js;138181;3438;26145;1000;0;JavaScript;91.56%
yangshun/tech-interview-handbook;138010;3531;486;0;39;TypeScript;63.33%
Genymobile/scrcpy;136572;3026;123;50;8;C;55.12%
labuladong/fucking-algorithm;132933;2207;244;0;6;Markdown;99.90%
golang/go;132915;4217;1;0;0;Go;86.60%
langgenius/dify;131455;1059;9733;158;0;TypeScript;97.57%
microsoft/PowerToys;130260;2500;6349;127;0;C#;78.87%
x1xhlol/system-prompts-and-models-of-ai-tools;128817;365;46;0;0;Unknown;57.14%
langchain-ai/langchain;128455;1236;16041;1000;0;Python;97.31%
Chalarangelo/30-seconds-of-code;126962;3018;836;12;1;JavaScript;100.00%
open-webui/open-webui;125961;881;3314;152;0;Python;97.59%
facebook/react-native;125508;4073;957;444;0;C++;97.28%
krahets/hello-algo;122705;1218;968;10;42;Java;97.16%
kubernetes/kubernetes;120958;4290;64019;784;0;Go;96.20%
electron/electron;120333;4711;24552;1000;0;C++;96.56%
ripienaar/free-for-dev;118706;4005;2900;0;2;HTML;0.00%
excalidraw/excalidraw;118135;2255;3839;14;0;TypeScript;54.66%
anomalyco/opencode;117171;309;2592;730;0;TypeScript;51.82%
justjavac/free-programming-books-zh_CN;116410;4505;282;3;599;Unknown;0.00%
nodejs/node;116105;4117;11894;486;0;JavaScript;91.26%
iptv-org/iptv;112476;2668;6821;0;0;TypeScript;98.63%
d3/d3;112471;5638;494;194;93;Shell;99.55%
mrdoob/three.js;111196;5826;15237;175;0;JavaScript;96.73%
rust-lang/rust;110955;5741;69562;147;0;Rust;81.93%
rustdesk/rustdesk;108754;1984;3946;36;0;Rust;98.48%
axios/axios;108590;4217;1134;109;0;JavaScript;95.95%
microsoft/TypeScript;108031;4279;14857;214;3;TypeScript;88.42%
Hack-with-Github/Awesome-Hacking;107831;3627;34;0;412;Unknown;0.00%
shadcn-ui/ui;107816;1157;1008;75;0;TypeScript;75.12%
microsoft/generative-ai-for-beginners;107596;990;542;0;0;Jupyter Notebook;99.52%
godotengine/godot;107422;4443;41431;66;0;C++;78.81%
GrowingGit/GitHub-Chinese-Top-Charts;106623;2374;0;0;510;Java;47.23%
denoland/deno;106312;2852;14306;368;0;Rust;83.16%
goldbergyoni/nodebestpractices;105148;3094;766;0;324;Dockerfile;85.37%
Comfy-Org/ComfyUI;105017;1144;2216;125;0;Python;56.64%
fatedier/frp;104923;3727;743;109;0;Go;99.06%
papers-we-love/papers-we-love;103847;4464;439;0;12;Shell;99.19%
facebook/create-react-app;103826;3518;1949;83;384;JavaScript;78.06%
tauri-apps/tauri;103696;2428;5401;0;0;Rust;79.62%
microsoft/terminal;102034;3128;4379;148;0;C++;88.07%
deepseek-ai/DeepSeek-V3;101908;435;25;1;190;Python;93.78%
clash-verge-rev/clash-verge-rev;100815;835;752;62;0;TypeScript;96.66%
angular/angular;100075;4186;5682;610;0;TypeScript;96.72%
Shubhamsaboo/awesome-llm-apps;99949;676;170;0;4;Python;99.17%
jaywcjlove/awesome-mac;99585;3518;1081;13;0;JavaScript;73.68%
supabase/supabase;98612;2337;15599;26;0;TypeScript;94.91%
Anduin2017/HowToCook;98554;2197;614;4;2;Dockerfile;44.01%
mtdvio/every-programmer-should-know;98186;3116;110;0;66;Unknown;68.89%
2dust/v2rayN;98023;2411;395;300;0;C#;99.91%
mui/material-ui;98012;4217;21491;558;0;JavaScript;92.16%
pytorch/pytorch;97998;3492;6428;64;0;Python;71.83%
ant-design/ant-design;97676;3968;17069;740;0;TypeScript;96.03%
neovim/neovim;96983;4417;17738;48;0;Vim Script;88.07%
ggml-org/llama.cpp;96923;1091;7486;1000;0;C++;93.82%
google-gemini/gemini-cli;96671;322;5291;396;0;TypeScript;80.60%
fastapi/fastapi;95947;2645;3171;269;0;Python;99.69%
nvbn/thefuck;95611;3984;481;17;594;Python;61.63%
openai/whisper;95530;1266;119;13;81;Python;0.00%
microsoft/Web-Dev-For-Beginners;95393;1942;668;0;0;JavaScript;91.49%
ryanmcdermott/clean-code-javascript;94315;3387;149;0;585;JavaScript;67.35%
immich-app/immich;94133;1491;8734;287;0;TypeScript;93.53%
tailwindlabs/tailwindcss;93929;3072;3302;300;1;TypeScript;98.93%
iluwatar/java-design-patterns;93798;4226;1520;0;4;Java;85.79%
puppeteer/puppeteer;93727;3222;5836;646;1;TypeScript;96.48%
nvm-sh/nvm;92064;5803;741;71;14;Shell;86.17%
deepseek-ai/DeepSeek-R1;91923;410;10;1;252;Unknown;95.95%
florinpop17/app-ideas;90977;2565;151;0;145;Unknown;26.02%
PanJiaChen/vue-element-admin;90289;3245;311;49;498;Vue;65.24%
microsoft/markitdown;90206;477;170;18;13;Python;21.76%
storybookjs/storybook;89371;3640;12293;1000;0;TypeScript;85.10%
firecrawl/firecrawl;88789;689;1365;32;0;TypeScript;94.54%
bitcoin/bitcoin;88367;5555;16174;63;0;C++;96.01%
gin-gonic/gin;88205;4280;1224;29;2;Go;74.98%
oven-sh/bun;87913;1787;7177;210;0;Zig;69.27%
ChatGPTNextWeb/NextChat;87441;1091;894;77;93;TypeScript;80.93%
rasbt/LLMs-from-scratch;87281;956;481;0;2;Jupyter Notebook;100.00%
django/django;86987;5060;10324;0;0;Python;0.00%
gohugoio/hugo;86933;4627;3239;365;0;Go;96.98%
mermaid-js/mermaid;86516;4142;2587;179;0;TypeScript;61.79%
opencv/opencv;86462;4978;13505;67;0;C++;77.52%
sveltejs/svelte;86009;3392;6520;606;0;JavaScript;89.74%
anthropics/skills;85709;164;21;0;1;Python;14.09%
ruanyf/weekly;85280;2701;106;0;0;Unknown;15.17%
home-assistant/core;85169;4553;82590;1000;0;Python;95.72%
3b1b/manim;84999;4001;661;13;21;Python;62.55%
microsoft/ML-For-Beginners;84157;1829;446;0;1;Jupyter Notebook;100.00%
laravel/laravel;83907;5385;1670;211;8;Blade;0.00%
louislam/uptime-kuma;83684;1707;1688;125;0;JavaScript;85.77%
microsoft/playwright;83619;2302;16279;158;0;TypeScript;96.54%
MunGell/awesome-for-beginners;83188;3785;469;0;9;Unknown;92.16%
macrozheng/mall;83037;2893;1;3;0;Java;98.00%
realworld-apps/realworld;82927;3660;434;0;0;TypeScript;93.94%
animate-css/animate.css;82615;5259;315;22;584;CSS;95.47%
punkpeye/awesome-mcp-servers;82343;461;1447;0;0;Unknown;71.23%
bregman-arie/devops-exercises;81401;2345;309;0;69;Python;67.31%
DopplerHQ/awesome-interview-questions;81272;3751;175;0;585;Unknown;55.74%
tonsky/FiraCode;81246;4132;142;29;2;Clojure;69.49%
syncthing/syncthing;80556;4483;2837;462;1;Go;93.65%
astral-sh/uv;80375;885;8514;259;0;Rust;72.61%
modelcontextprotocol/servers;80340;472;1178;24;5;TypeScript;66.67%
spring-projects/spring-boot;80181;4885;42;339;0;Java;98.75%
ByteByteGoHq/system-design-101;80070;899;23;0;335;Unknown;31.03%
hacksider/Deep-Live-Cam;79869;894;98;10;2;Python;92.64%
browser-use/browser-use;79761;490;1668;118;0;Python;90.72%
fighting41love/funNLP;79224;2754;14;0;665;Python;56.47%
doocs/advanced-java;78886;2708;89;1;43;Java;99.32%
vitejs/vite;78633;2145;6058;658;0;TypeScript;94.54%
anuraghazra/github-readme-stats;78633;2066;1568;0;3;JavaScript;88.73%
junegunn/fzf;78342;4516;642;76;0;Go;91.81%
hoppscotch/hoppscotch;78182;2389;2038;99;0;TypeScript;75.64%
netdata/netdata;77967;4644;11754;132;0;C;98.15%
tensorflow/models;77691;3682;2342;51;0;Python;85.20%
nomic-ai/gpt4all;77201;1074;938;38;282;C++;67.50%
MisterBooo/LeetCodeAnimation;76722;2647;63;0;935;Java;70.49%
zed-industries/zed;76511;1840;22146;1000;0;Rust;85.88%
coder/code-server;76503;2563;1639;224;0;TypeScript;95.60%
Developer-Y/cs-video-courses;76427;3422;257;0;12;Unknown;0.00%
FortAwesome/Font-Awesome;76398;5131;220;63;23;JavaScript;98.53%
elastic/elasticsearch;76281;5870;87421;235;0;Java;89.67%
mlabonne/llm-course;76135;992;2;0;29;Unknown;33.68%
localsend/localsend;76051;1176;701;24;2;Dart;46.33%
d2l-ai/d2l-zh;76013;3117;1019;16;584;Python;0.00%
sdmg15/Best-websites-a-programmer-should-visit;75784;3287;431;0;170;Unknown;56.76%
swisskyrepo/PayloadsAllTheThings;75767;3426;564;5;1;Python;0.00%
typicode/json-server;75640;4482;161;46;6;JavaScript;48.05%
Stirling-Tools/Stirling-PDF;75008;1133;3182;168;0;TypeScript;79.25%
nestjs/nest;74872;3316;8089;143;0;TypeScript;99.71%
ventoy/Ventoy;74849;2186;294;108;33;C;69.71%
anthropics/claude-code;74574;376;145;55;0;Shell;82.06%
github/spec-kit;74551;196;179;112;0;Python;38.42%
infiniflow/ragflow;74278;815;5470;40;0;Python;54.82%
unionlabs/union;74264;1024;3102;107;9;Rust;93.03%
vuejs/awesome-vue;73627;3790;3612;0;0;Unknown;83.04%
jesseduffield/lazygit;73613;2848;1809;176;4;Go;69.02%
sherlock-project/sherlock;73412;2629;734;2;0;Python;93.04%
redis/redis;73301;6193;4428;117;0;C;68.08%
awesomedata/awesome-public-datasets;73286;4124;188;1;1;Unknown;38.71%
lobehub/lobehub;73189;1020;4349;1000;0;TypeScript;91.24%
twitter/the-algorithm;72843;1074;2;0;178;Scala;70.26%
tesseract-ocr/tesseract;72727;4223;1432;35;6;C++;84.35%
CompVis/stable-diffusion;72633;1304;5;0;626;Jupyter Notebook;27.07%
grafana/grafana;72517;4467;62673;592;0;TypeScript;92.42%
obra/superpowers;72457;147;39;2;12;Shell;68.77%
thedaviddias/Front-End-Checklist;72317;3063;179;1;30;Unknown;99.34%
enaqx/awesome-react;72259;4230;794;0;51;Unknown;98.32%
vllm-project/vllm;72229;1121;14492;84;0;Python;87.71%
josephmisiti/awesome-machine-learning;71867;4251;902;0;35;Python;98.98%
python/cpython;71861;3310;57256;0;0;Python;90.50%
openai/openai-cookbook;71857;1456;1008;0;0;Jupyter Notebook;90.10%
abi/screenshot-to-code;71804;842;71;0;1;TypeScript;71.39%
ocornut/imgui;71749;4246;418;118;7;C++;84.67%
PaddlePaddle/PaddleOCR;71686;2128;3119;29;1;Python;97.86%
PKUFlyingPig/cs-self-learning;71629;1598;315;5;10;HTML;45.89%
strapi/strapi;71486;3809;9586;514;0;TypeScript;95.14%
moby/moby;71483;4794;22359;276;0;Go;86.02%
pallets/flask;71329;5813;1627;38;1;Python;100.00%
dair-ai/Prompt-Engineering-Guide;71190;1175;342;0;7;MDX;30.71%
apache/superset;70823;3880;16455;243;0;TypeScript;94.65%
protocolbuffers/protobuf;70807;4209;8741;208;0;C++;98.16%
obsproject/obs-studio;70738;4539;5422;237;0;C;84.61%
hakimel/reveal.js;70672;5385;413;49;1;JavaScript;68.11%
caddyserver/caddy;70614;4069;2266;134;0;Go;95.63%
binary-husky/gpt_academic;70174;1082;228;32;40;Python;84.28%
fffaraz/awesome-cpp;70048;4250;839;0;0;Unknown;60.24%
swiftlang/swift;69851;3786;58090;66;0;C++;57.60%
Eugeny/tabby;69326;3360;1512;204;5;TypeScript;58.19%
danielmiessler/SecLists;69277;5129;696;29;0;PHP;96.86%
nektos/act;69171;2619;1057;92;1;Go;81.64%
binhnguyennus/awesome-scalability;69027;2991;37;0;61;Unknown;0.00%
expressjs/express;68866;6096;522;164;5;JavaScript;97.52%
base/node;68708;1129;249;72;0;Go;97.88%
OpenHands/OpenHands;68659;723;6450;99;0;Python;95.61%
AppFlowy-IO/AppFlowy;68411;1724;3894;127;9;Dart;76.80%
ansible/ansible;68213;5112;39672;207;0;Python;98.39%
hiyouga/LlamaFactory;67977;1013;901;35;0;Python;88.51%
chartjs/Chart.js;67220;4736;3016;117;6;JavaScript;93.37%
prakhar1989/awesome-courses;66858;4128;194;0;1037;Unknown;46.99%
juliangarnier/anime;66750;3644;87;34;20;JavaScript;89.82%
leonardomso/33-js-concepts;66263;2740;262;0;5;JavaScript;100.00%
webpack/webpack;66024;5109;5566;448;0;JavaScript;98.89%
labmlai/annotated_deep_learning_paper_implementations;65871;2019;104;0;43;Python;80.28%
apache/echarts;65849;4720;1493;122;1;TypeScript;91.48%
xtekky/gpt4free;65720;1072;871;429;1;Python;99.55%
TapXWorld/ChinaTextbook;65598;2252;1;0;139;Roff;47.20%
NationalSecurityAgency/ghidra;65423;2562;553;52;0;Java;73.76%
scikit-learn/scikit-learn;65308;5680;14167;49;0;Python;86.73%
lydiahallie/javascript-questions;65298;2459;328;0;578;Unknown;92.46%
sindresorhus/awesome-nodejs;65185;4256;421;0;51;Unknown;97.14%
TheAlgorithms/Java;65169;3520;2268;0;0;Java;97.92%
kdn251/interviews;64972;3306;42;0;298;Java;41.38%
bradtraversy/design-resources-for-developers;64962;2130;967;0;33;Unknown;98.20%
kelseyhightower/nocode;64935;2949;1;1;576;Dockerfile;14.80%
FoundationAgents/MetaGPT;64822;980;673;22;44;Python;98.23%
chrislgarry/Apollo-11;64637;4354;355;0;43;Assembly;85.27%
localstack/localstack;64566;3418;6813;106;0;Python;95.03%
toeverything/AFFiNE;64151;1313;9031;540;0;TypeScript;86.09%
facebook/docusaurus;64012;3180;5624;154;0;TypeScript;91.50%
keras-team/keras;63912;3996;4662;86;0;Python;98.53%
openai/codex;63493;327;4315;576;0;Rust;77.07%
prometheus/prometheus;63071;4850;8239;359;0;Go;91.95%
socketio/socket.io;62930;5838;440;82;0;TypeScript;94.90%
alacritty/alacritty;62814;3669;1918;105;1;Rust;94.86%
resume/resume.github.com;62811;5507;84;0;1115;JavaScript;52.38%
OpenBB-finance/OpenBB;62626;1902;4216;54;0;Python;98.51%
affaan-m/everything-claude-code;62593;47;89;10;0;JavaScript;95.38%
openinterpreter/open-interpreter;62557;966;384;48;25;Python;76.55%
daytonaio/daytona;62376;759;1861;162;0;TypeScript;77.85%
nocodb/nocodb;62356;3049;5827;183;0;TypeScript;90.41%
rust-lang/rustlings;62062;3825;922;46;7;Rust;93.54%
traefik/traefik;62056;3826;5084;507;0;Go;89.86%
gorhill/uBlock;61929;3991;256;283;0;JavaScript;99.62%
FuelLabs/sway;61914;1871;3640;185;0;Rust;74.06%
ryanoasis/nerd-fonts;61884;4109;565;38;26;CSS;95.83%
lodash/lodash;61580;5081;614;2;11;JavaScript;98.52%
tldr-pages/tldr;61554;4471;17754;6;0;Markdown;87.89%
unclecode/crawl4ai;61450;666;163;13;0;Python;80.60%
reduxjs/redux;61440;3933;1747;78;0;TypeScript;98.21%
LadybirdBrowser/ladybird;61062;645;5900;0;0;C++;62.96%
atom/atom;60988;5158;3937;538;1158;JavaScript;94.37%
xingshaocheng/architect-awesome;60843;2891;49;0;694;Unknown;32.39%
h5bp/Front-end-Developer-Interview-Questions;60796;5138;484;0;6;Nunjucks;80.79%
scrapy/scrapy;60610;5856;2475;46;4;Python;85.78%
youngyangyang04/leetcode-master;60595;2274;2311;0;38;Shell;24.55%
BurntSushi/ripgrep;60593;3647;544;74;6;Rust;94.68%
minio/minio;60437;4068;9882;521;21;Go;99.43%
commaai/openpilot;60236;3389;12647;61;0;Python;94.38%
adam-p/markdown-here;60162;5045;27;17;196;JavaScript;52.52%
jquery/jquery;59852;6180;867;13;3;JavaScript;96.81%
nuxt/nuxt;59799;3418;7477;274;0;TypeScript;95.28%
spring-projects/spring-framework;59708;5567;906;357;0;Java;98.88%
jgraph/drawio-desktop;59686;3206;22;169;0;JavaScript;96.43%
git/git;59508;6435;3;0;0;C;0.00%
CorentinJ/Real-Time-Voice-Cloning;59504;2476;50;0;81;Python;85.60%
pathwaycom/pathway;59497;1195;19;84;1;Python;80.71%
shadowsocks/shadowsocks-windows;59269;4799;290;55;429;C#;93.55%
meta-llama/llama;59198;1116;54;0;403;Python;58.63%
Solido/awesome-flutter;59180;3225;448;0;22;Dart;0.00%
topjohnwu/Magisk;59082;3466;1688;156;1;Rust;99.40%
Asabeneh/30-Days-Of-Python;59075;2298;137;0;2;Python;59.15%
angular/angular.js;58923;5903;790;0;692;JavaScript;95.69%
cline/cline;58691;608;3248;239;0;TypeScript;85.18%
PlexPt/awesome-chatgpt-prompts-zh;58570;1180;33;0;429;Unknown;60.82%
rails/rails;58347;6538;25884;160;1;Ruby;97.25%
FiloSottile/mkcert;58267;2811;52;14;570;Go;68.86%
FFmpeg/FFmpeg;57614;5440;0;0;0;C;0.00%
sharkdp/bat;57538;2876;1577;43;1;Rust;80.13%
usememos/memos;57525;1548;1917;86;1;Go;99.58%
h5bp/html5-boilerplate;57396;5884;804;34;5;JavaScript;99.63%
FuelLabs/fuel-core;57338;2016;1617;125;0;Rust;86.31%
withastro/astro;57308;1816;8248;1000;0;TypeScript;96.87%
pmndrs/zustand;57258;2523;888;101;3;TypeScript;99.71%
scutan90/DeepLearning-500-questions;57181;2809;302;0;618;JavaScript;42.19%
zylon-ai/private-gpt;57155;1039;226;10;8;Python;78.65%
ultralytics/yolov5;56938;2118;2239;10;13;Python;99.59%
soimort/you-get;56765;4945;582;123;312;Python;0.00%
pocketbase/pocketbase;56576;1340;55;246;0;Go;98.77%
dani-garcia/vaultwarden;56388;2938;1080;78;2;Rust;99.57%
remix-run/react-router;56283;4311;3414;326;1;TypeScript;98.63%
pathwaycom/llm-app;56199;961;49;0;58;Jupyter Notebook;72.22%
meilisearch/meilisearch;56199;2874;2339;299;0;Rust;90.56%
ageitgey/face_recognition;56177;3289;94;2;562;Python;43.40%
rust-unofficial/awesome-rust;56008;4250;1697;0;0;Rust;93.01%
pi-hole/pi-hole;55994;4288;2171;123;3;Shell;99.01%
gatsbyjs/gatsby;55946;3941;18253;158;0;JavaScript;98.47%
rclone/rclone;55874;4372;2310;121;0;Go;84.35%
azl397985856/leetcode;55820;2898;257;40;233;JavaScript;96.88%
Mintplex-Labs/anything-llm;55729;1006;1304;25;0;JavaScript;91.44%
Textualize/rich;55698;2307;860;175;8;Python;85.42%
opendatalab/MinerU;55610;736;1319;143;0;Python;90.97%
wasabeef/awesome-android-ui;55569;4090;90;0;608;Unknown;81.74%
RVC-Boss/GPT-SoVITS;55546;781;355;4;25;Python;61.35%
tiimgreen/github-cheat-sheet;55514;4345;129;0;689;Unknown;65.33%
golang-standards/project-layout;55505;3099;94;0;84;Makefile;38.26%
microsoft/autogen;55238;931;2534;98;1;Python;84.83%
AntonOsika/gpt-engineer;55216;1042;351;21;296;Python;93.81%
Z4nzu/hackingtool;55172;2155;57;0;143;Python;82.14%
FoundationAgents/OpenManus;55059;365;115;3;23;Python;52.50%
docling-project/docling;55056;605;746;156;0;Python;50.55%
appwrite/appwrite;55030;2523;4448;120;0;TypeScript;87.35%
deepfakes/faceswap;55017;2999;363;5;3;Python;99.78%
