name;stars;age_days;prs;releases;update_days;language;issues_ratio
starship/starship;54559;2530;3060;138;0;Rust;70.48%
lencx/ChatGPT;54376;1185;123;34;553;Rust;29.37%
marktext/marktext;54237;3035;944;36;2;JavaScript;55.10%
ElemeFE/element;54207;3471;3231;145;563;Vue;85.22%
karpathy/nanoGPT;54204;1164;45;0;113;Python;32.29%
go-gitea/gitea;54134;3412;18525;224;0;Go;83.03%
maybe-finance/maybe;54051;794;1073;28;224;Ruby;0.00%
ultralytics/ultralytics;54004;1271;4246;349;0;Python;98.95%
psf/requests;53860;5499;1619;14;0;Python;95.54%
necolas/normalize.css;53755;5420;56;0;631;CSS;90.91%
laurent22/joplin;53750;3335;5231;400;0;TypeScript;92.48%
facebookresearch/segment-anything;53581;1078;16;0;533;Jupyter Notebook;25.38%
wagoodman/dive;53491;2853;164;28;80;Go;54.96%
unslothai/unsloth;53430;827;775;23;2;Python;70.92%
romkatv/powerlevel10k;53213;2566;168;33;36;Shell;95.55%
microsoft/ai-agents-for-beginners;53185;463;317;0;0;Jupyter Notebook;100.00%
vuejs/core;53154;2824;3640;268;0;TypeScript;89.10%
ngosang/trackerslist;53100;3603;1;0;0;Unknown;98.43%
google/material-design-icons;52949;4166;50;16;0;Unknown;75.26%
mozilla/pdf.js;52930;5428;8473;83;0;JavaScript;95.86%
firstcontributions/first-contributions;52861;3454;94680;0;0;Unknown;97.29%
WerWolv/ImHex;52795;1942;725;82;2;C++;80.46%
Zie619/n8n-workflows;52552;296;34;1;22;Python;81.63%
JetBrains/kotlin;52427;5134;2136;284;0;Kotlin;0.00%
ionic-team/ionic-framework;52386;4580;6521;930;0;TypeScript;97.32%
cloudcommunity/Free-Certifications;52338;2044;115;0;227;Unknown;29.23%
sickcodes/Docker-OSX;52231;2101;109;0;115;Shell;42.14%
TryGhost/Ghost;51974;4689;15695;954;0;JavaScript;99.09%
typst/typst;51823;2354;2234;27;0;Rust;72.90%
2dust/v2rayNG;51752;2487;541;282;3;Kotlin;99.81%
PowerShell/PowerShell;51749;3704;8063;193;0;C#;91.11%
prettier/prettier;51732;3383;9665;134;0;JavaScript;83.29%
etcd-io/etcd;51617;4625;10228;272;0;Go;98.39%
termux/termux-app;51551;3787;177;95;7;Java;85.69%
xai-org/grok-1;51533;719;5;0;553;Python;0.00%
google/guava;51484;4298;1195;57;1;Java;83.01%
vsouza/awesome-ios;51465;4256;2240;0;157;Swift;99.19%
jekyll/jekyll;51426;6346;3197;112;6;Ruby;97.42%
coollabsio/coolify;51423;1865;2305;665;0;PHP;83.21%
Semantic-Org/Semantic-UI;51139;4714;356;154;463;JavaScript;84.51%
chinese-poetry/chinese-poetry;51029;3472;137;1;338;JavaScript;43.19%
DefinitelyTyped/DefinitelyTyped;51015;4899;52962;1;0;TypeScript;93.02%
agalwood/Motrix;50987;2635;192;21;603;JavaScript;44.09%
ethereum/go-ethereum;50893;4453;8781;228;0;Go;97.83%
justjavac/awesome-wechat-weapp;50580;3451;278;0;107;Unknown;0.00%
charlax/professional-programming;50480;3772;43;0;1;Python;100.00%
poteto/hiring-without-whiteboards;50470;3278;1309;0;7;JavaScript;0.00%
FlowiseAI/Flowise;50436;1071;1571;80;0;TypeScript;74.59%
dockur/windows;50239;782;518;119;0;Shell;89.82%
jgthms/bulma;50058;3694;646;22;4;CSS;87.60%
harry0703/MoneyPrinterTurbo;50016;725;145;9;82;Python;64.72%
jesseduffield/lazydocker;49993;2484;191;45;48;Go;51.39%
Avik-Jain/100-Days-Of-ML-Code;49766;2801;6;0;798;Unknown;0.00%
mastodon/mastodon;49710;3664;19161;327;0;Ruby;67.08%
cypress-io/cypress;49597;4020;8075;387;0;TypeScript;92.17%
NARKOZ/hacker-scripts;49432;3757;63;0;864;JavaScript;65.38%
odoo/odoo;49338;4314;6182;0;0;Python;81.06%
lyswhut/lx-music-desktop;49165;2396;88;112;18;TypeScript;54.14%
dkhamsing/open-source-ios-apps;49119;4056;1544;37;0;Unknown;100.00%
AlistGo/alist;49113;1898;905;143;0;Go;87.91%
jellyfin/jellyfin;49094;2644;5176;102;0;C#;92.27%
nlohmann/json;49038;4628;1007;45;1;C++;98.48%
dbeaver/dbeaver;48966;3789;6729;243;0;Java;84.18%
mem0ai/mem0;48895;990;1819;273;2;Python;67.10%
huginn/huginn;48818;4744;1056;1;10;Ruby;72.33%
TanStack/query;48711;2368;3200;1000;0;TypeScript;96.92%
ChrisTitusTech/winutil;48628;1408;1069;34;0;PowerShell;99.72%
iamkun/dayjs;48581;2887;715;125;3;JavaScript;47.51%
JuliaLang/julia;48536;5433;26888;195;0;Julia;85.12%
ReactiveX/RxJava;48490;4804;3377;243;0;Java;99.56%
algorithm-visualizer/algorithm-visualizer;48370;3582;183;0;635;JavaScript;61.79%
sansan0/TrendRadar;48122;312;1;0;5;Python;92.95%
pandas-dev/pandas;48068;5673;27967;118;0;Python;87.79%
moment/moment;48055;5484;714;0;568;JavaScript;93.98%
upstash/context7;47924;344;267;50;0;TypeScript;90.82%
hashicorp/terraform;47889;4375;13207;403;0;Go;91.81%
x64dbg/x64dbg;47832;3981;774;4;9;C++;78.56%
lllyasviel/Fooocus;47810;939;448;21;94;Python;86.42%
type-challenges/type-challenges;47777;2052;600;0;5;TypeScript;10.79%
expo/expo;47738;3489;20643;0;0;TypeScript;98.17%
serhii-londar/open-source-mac-os-apps;47711;3045;614;0;11;Unknown;95.89%
kelseyhightower/kubernetes-the-hard-way;47653;3529;73;0;330;Unknown;94.98%
kamranahmedse/design-patterns-for-humans;47606;3304;50;0;459;Unknown;90.38%
minimaxir/big-list-of-naughty-strings;47605;3862;89;0;687;Python;31.68%
bigskysoftware/htmx;47557;2152;1049;27;1;JavaScript;63.91%
gogs/gogs;47549;4405;1869;96;1;Go;82.21%
skylot/jadx;47531;4735;621;34;1;Java;79.76%
karan/Projects;47451;4628;19;0;568;Unknown;40.22%
run-llama/llama_index;47416;1220;7642;425;0;Python;96.87%
freqtrade/freqtrade;47400;3214;6325;110;0;Python;99.46%
ggml-org/whisper.cpp;47275;1257;932;31;1;C++;46.63%
akullpp/awesome-java;47218;4258;733;0;27;Unknown;97.84%
1c7/chinese-independent-developer;47016;3088;412;0;0;Unknown;99.18%
typescript-cheatsheets/react;46983;2834;375;0;21;JavaScript;100.00%
brillout/awesome-react-components;46965;3541;343;0;38;Unknown;80.36%
jakevdp/PythonDataScienceHandbook;46958;3495;28;0;617;Jupyter Notebook;37.98%
serverless/serverless;46945;3972;4849;480;1;JavaScript;83.07%
v2ray/v2ray-core;46927;3836;203;247;151;Go;99.88%
slab/quill;46920;4966;382;95;224;TypeScript;85.55%
square/okhttp;46914;4974;3965;0;1;Kotlin;98.45%
Homebrew/brew;46861;3652;13799;473;0;Ruby;99.84%
pixijs/pixijs;46691;4791;3808;303;0;TypeScript;95.54%
GokuMohandas/Made-With-ML;46635;2678;147;1;1;Jupyter Notebook;76.62%
discourse/discourse;46507;4801;33410;0;0;Ruby;0.00%
tw93/Pake;46470;1239;110;41;2;Rust;99.79%
OpenCut-app/OpenCut;46392;257;187;2;1;TypeScript;34.14%
metabase/metabase;46316;4049;39495;733;0;Clojure;85.00%
DovAmir/awesome-design-patterns;46292;2831;30;0;496;Unknown;31.25%
makeplane/plane;46274;1203;6278;54;0;TypeScript;61.79%
virattt/ai-hedge-fund;46232;461;40;0;31;Python;88.26%
ClickHouse/ClickHouse;46209;3564;59114;746;0;C++;83.40%
ziishaned/learn-regex;46161;3149;132;0;192;Unknown;41.38%
oobabooga/text-generation-webui;46155;1171;1235;92;0;Python;35.51%
Asabeneh/30-Days-Of-JavaScript;46155;2265;100;0;90;JavaScript;33.71%
dypsilon/frontend-dev-bookmarks;46135;4640;129;1;654;Unknown;75.23%
astral-sh/ruff;46135;1304;13614;402;0;Rust;78.97%
acmesh-official/acme.sh;45862;3723;1511;46;2;Shell;67.99%
microsoft/AI-For-Beginners;45861;1828;289;0;1;Jupyter Notebook;99.33%
microsoft/monaco-editor;45680;3558;558;187;0;JavaScript;81.42%
tldraw/tldraw;45664;1762;4428;101;0;TypeScript;87.14%
android/architecture-samples;45596;3682;232;0;2;Kotlin;71.08%
ghostty-org/ghostty;45569;1437;3608;1;0;Zig;93.70%
GitHubDaily/GitHubDaily;45476;2623;3;0;64;Unknown;25.42%
prisma/prisma;45457;2451;6747;242;0;TypeScript;79.80%
LeCoupa/awesome-cheatsheets;45448;3039;171;0;14;JavaScript;59.00%
jeecgboot/JeecgBoot;45345;2657;126;68;1;Java;99.57%
ColorlibHQ/AdminLTE;45317;4454;1565;77;1;CSS;95.25%
jestjs/jest;45315;4469;5774;213;0;TypeScript;97.49%
crewAIInc/crewAI;45288;861;1393;141;0;Python;95.75%
coreybutler/nvm-windows;45255;4184;107;23;7;Go;92.21%
google/zx;45249;1766;603;100;3;JavaScript;96.28%
NanmiCoder/MediaCrawler;44943;1001;132;0;2;Python;76.72%
bevyengine/bevy;44906;2238;7485;53;0;Rust;66.77%
RocketChat/Rocket.Chat;44830;3944;15684;1000;0;TypeScript;86.20%
isocpp/CppCoreGuidelines;44815;3851;825;4;0;CSS;80.49%
meteor/meteor;44779;5160;2664;0;0;JavaScript;97.44%
KRTirtho/spotube;44765;1846;257;43;10;Dart;64.40%
coqui-ai/TTS;44731;2115;467;98;567;Python;99.67%
vercel/hyper;44700;3535;3291;88;569;TypeScript;75.22%
slidevjs/slidev;44657;1777;804;419;3;TypeScript;87.95%
penpot/penpot;44607;3719;5511;69;1;Clojure;74.82%
Leaflet/Leaflet;44598;5643;3237;34;4;JavaScript;92.53%
karpathy/nanochat;44594;144;73;0;1;Python;86.44%
gedoor/legado;44585;2480;1139;115;2;Kotlin;99.19%
react-hook-form/react-hook-form;44561;2557;2141;600;6;TypeScript;98.27%
apache/airflow;44515;3979;34196;114;0;Python;90.36%
grpc/grpc;44444;4105;20513;364;0;C++;94.17%
GitSquared/edex-ui;44384;3324;399;29;1598;JavaScript;98.93%
pyenv/pyenv;44367;4935;1039;150;2;Shell;97.29%
sudheerj/reactjs-interview-questions;44323;2835;170;0;9;JavaScript;96.46%
docker/awesome-compose;44253;2213;149;0;1;HTML;30.71%
astaxie/build-web-application-with-golang;44159;4964;757;0;663;Go;59.80%
parcel-bundler/parcel;44048;3132;2600;52;1;JavaScript;91.51%
NaiboWang/EasySpider;44027;2057;44;10;8;JavaScript;65.39%
iina/iina;43980;3364;882;47;1;Swift;57.27%
streamich/react-use;43947;2687;1533;256;45;TypeScript;40.23%
lukasz-madon/awesome-remote-job;43920;4081;593;0;53;Unknown;84.27%
square/retrofit;43902;5659;1343;4;0;HTML;95.41%
babel/babel;43893;4177;6546;452;0;TypeScript;93.46%
yangshun/front-end-interview-handbook;43871;2973;350;0;3;MDX;89.22%
aymericdamien/TensorFlow-Examples;43800;3768;88;0;587;Jupyter Notebook;29.83%
streamlit/streamlit;43765;2386;6862;116;0;Python;80.49%
upscayl/upscayl;43758;1314;0;29;48;TypeScript;94.78%
SimplifyJobs/Summer2026-Internships;43678;2112;1674;0;0;Python;99.99%
AykutSarac/jsoncrack.com;43410;1495;89;22;14;TypeScript;87.54%
FuelLabs/fuels-rs;43400;1586;908;120;14;Rust;92.46%
spf13/cobra;43399;4566;626;27;86;Go;80.53%
FuelLabs/fuels-ts;43354;1644;1979;156;32;TypeScript;96.09%
mudler/LocalAI;43334;1083;4939;97;0;Go;90.77%
zhongyang219/TrafficMonitor;43308;3141;67;26;22;C++;36.89%
getsentry/sentry;43285;5666;81877;163;0;Python;88.74%
helix-editor/helix;43255;2104;4613;30;1;Rust;82.42%
milvus-io/milvus;43168;2363;24836;153;0;Go;94.43%
Unitech/pm2;42973;4672;558;134;25;JavaScript;80.17%
9001/copyparty;42969;2475;169;336;2;Python;75.18%
cli/cli;42935;2345;2815;189;0;Go;84.40%
apache/spark;42934;4392;9;0;0;Scala;21.43%
Light-City/CPlusPlusThings;42929;2427;72;0;630;C++;94.78%
Kong/kong;42891;4126;6501;145;3;Lua;98.74%
ziglang/zig;42831;3865;9540;21;99;Zig;75.37%
alex/what-happens-when;42777;4502;108;0;564;Unknown;18.24%
faif/python-patterns;42776;5020;289;0;21;Python;88.66%
tmux/tmux;42642;3928;2;39;0;C;99.10%
mitmproxy/mitmproxy;42542;5862;2730;79;4;Python;89.98%
k88hudson/git-flight-rules;42482;4244;226;0;130;Unknown;78.08%
bannedbook/fanqiang;42472;4069;3;3;27;Kotlin;59.73%
jgm/pandoc;42420;5829;1760;153;0;Haskell;88.17%
DIYgod/RSSHub;42416;2895;12107;0;0;TypeScript;94.32%
hiroi-sora/Umi-OCR;42408;1439;58;31;105;Python;61.55%
Alamofire/Alamofire;42355;4236;664;104;22;Swift;98.83%
files-community/Files;42276;2617;5511;131;0;C#;95.43%
exo-explore/exo;42133;619;607;13;0;Python;85.77%
apachecn/ailearning;42088;3296;478;2;478;Python;97.41%
colinhacks/zod;42055;2189;975;201;19;TypeScript;94.49%
mingrammer/diagrams;42054;2223;341;46;27;Python;41.56%
sharkdp/fd;41943;3222;708;41;4;Rust;85.91%
zhayujie/chatgpt-on-wechat;41942;1307;286;66;0;Python;84.78%
gradio-app/gradio;41940;2634;5357;1000;0;Python;93.18%
fastapi/full-stack-fastapi-template;41883;2567;621;12;4;TypeScript;100.00%
nolimits4web/swiper;41799;5104;619;94;10;JavaScript;95.97%
deepspeedai/DeepSpeed;41755;2233;2946;107;0;Python;65.17%
apache/dubbo;41701;5008;6023;113;3;Java;89.07%
siyuan-note/siyuan;41699;2014;685;878;0;TypeScript;97.96%
byoungd/English-level-up-tips;41626;3202;26;0;70;Unknown;73.58%
ray-project/ray;41617;3418;30085;122;0;Python;86.98%
nwjs/nw.js;41565;5175;576;0;1;JavaScript;87.21%
Aider-AI/aider;41563;1031;284;93;2;Python;70.65%
yarnpkg/yarn;41532;3698;1655;153;0;JavaScript;71.66%
usebruno/bruno;41454;1255;2059;160;0;JavaScript;62.27%
dcloudio/uni-app;41447;2794;555;0;0;JavaScript;86.77%
psf/black;41420;2913;1727;51;0;Python;89.41%
logseq/logseq;41404;2113;3133;152;0;Clojure;88.15%
dylanaraps/pure-bash-bible;41401;2823;28;0;829;Shell;42.86%
hpcaitech/ColossalAI;41365;1589;3705;50;3;Python;74.61%
ComposioHQ/awesome-claude-skills;41354;140;20;0;15;Python;5.36%
hexojs/hexo;41280;4911;975;117;2;TypeScript;98.12%
zai-org/ChatGLM-6B;41225;1089;49;0;617;Python;57.24%
ccxt/ccxt;41217;3217;14193;216;0;Python;92.94%
karanpratapsingh/system-design;41175;1298;12;0;81;Unknown;91.30%
bailicangdu/vue2-elm;41164;3360;21;0;329;Vue;81.14%
fastlane/fastlane;41128;4111;6343;560;1;Ruby;94.96%
curl/curl;41074;5831;203;94;0;C;99.76%
juspay/hyperswitch;41055;1236;6530;152;0;Rust;72.75%
chubin/cheat.sh;41053;3224;129;0;72;Python;50.94%
styled-components/styled-components;41027;3489;995;189;14;TypeScript;89.65%
payloadcms/payload;41019;1885;6752;559;0;TypeScript;93.77%
vuetifyjs/vuetify;40978;3462;4661;641;0;TypeScript;96.85%
CherryHQ/cherry-studio;40883;651;3021;246;0;TypeScript;94.48%
janhq/jan;40865;932;3431;97;0;TypeScript;92.79%
tabler/tabler;40819;2955;787;51;7;HTML;92.43%
Raphire/Win11Debloat;40691;1955;58;23;0;PowerShell;87.76%
LC044/WeChatMsg;40600;1150;62;0;66;Unknown;0.00%
jingyaogong/minimind;40553;587;9;2;28;Python;95.64%
zen-browser/desktop;40491;708;784;155;0;JavaScript;94.20%
bradtraversy/50projects50days;40471;1936;44;0;373;CSS;0.00%
calcom/cal.com;40471;1810;12905;611;0;TypeScript;89.17%
DataExpert-io/data-engineer-handbook;40423;837;177;0;7;Jupyter Notebook;84.52%
saadeghi/daisyui;40417;1923;524;184;5;Svelte;98.58%
chakra-ui/chakra-ui;40351;2393;2927;1000;0;TypeScript;99.88%
QSCTech/zju-icicles;40310;3537;232;0;45;HTML;88.46%
charmbracelet/bubbletea;40310;2246;673;72;3;Go;76.77%
twentyhq/twenty;40257;1191;10136;59;0;TypeScript;96.67%
zbezj/HEU_KMS_Activator;40207;2448;0;49;115;Unknown;15.98%
aria2/aria2;40205;5578;254;24;102;C++;43.16%
wg/wrk;40113;5099;0;0;797;C;64.37%
remoteintech/remote-jobs;40057;3797;1374;0;0;Nunjucks;97.03%
php/php-src;39985;5377;4789;42;0;C;80.85%
vim/vim;39960;3852;440;0;0;Vim Script;83.21%
google-research/bert;39892;2688;32;0;590;Python;31.00%
pingcap/tidb;39872;3834;34631;213;0;Go;80.11%
evanw/esbuild;39820;3551;257;309;28;Go;85.87%
HeyPuter/puter;39818;733;1321;8;0;JavaScript;83.73%
trpc/trpc;39677;2057;3851;231;0;TypeScript;88.95%
go-gorm/gorm;39653;4515;775;11;0;Go;92.03%
freefq/free;39648;2098;0;0;563;Unknown;31.77%
danielmiessler/Fabric;39529;792;599;382;0;Go;97.49%
videojs/video.js;39516;5774;1819;334;22;JavaScript;88.94%
floodsung/Deep-Learning-Papers-Reading-Roadmap;39481;3430;28;0;1195;Python;8.77%
lm-sys/FastChat;39421;1083;852;14;276;Python;55.40%
photoprism/photoprism;39420;2960;881;80;0;Go;83.23%
bmad-code-org/BMAD-METHOD;39351;326;374;24;1;JavaScript;90.44%
gofiber/fiber;39338;2241;2115;135;0;Go;97.79%
appsmithorg/appsmith;39336;2075;14089;302;0;TypeScript;81.41%
facebookresearch/faiss;39281;3313;137;24;0;C++;91.67%
goabstract/Awesome-Design-Tools;39192;2579;283;0;585;JavaScript;53.06%
phaserjs/phaser;39129;4711;1734;173;0;JavaScript;98.07%
Dogfalo/materialize;39126;4192;449;41;208;JavaScript;88.07%
google/styleguide;39068;3942;197;0;112;HTML;67.22%
koalaman/shellcheck;39059;4857;331;30;7;Haskell;59.73%
suno-ai/bark;39039;1063;19;0;564;Jupyter Notebook;50.73%
imputnet/cobalt;39015;1336;249;0;40;Svelte;80.46%
QuivrHQ/quivr;38972;1028;1824;354;240;Python;99.74%
DataTalksClub/data-engineering-zoomcamp;38895;1597;454;0;0;Jupyter Notebook;98.58%
google/leveldb;38875;4208;64;21;399;C++;68.53%
2noise/ChatTTS;38871;647;220;6;47;Python;91.37%
chatboxai/chatbox;38798;1096;0;52;20;TypeScript;60.14%
mifi/lossless-cut;38789;3414;223;105;4;TypeScript;86.75%
remotion-dev/remotion;38728;2081;4199;596;0;TypeScript;96.93%
novuhq/novu;38648;1652;6879;108;0;TypeScript;92.57%
mindsdb/mindsdb;38644;2772;5782;337;0;Python;98.34%
nushell/nushell;38637;2491;8457;117;0;Rust;79.16%
freeCodeCamp/devdocs;38584;4515;982;0;0;Ruby;84.32%
impress/impress.js;38517;5181;124;15;40;JavaScript;89.44%
agno-agi/agno;38479;1401;2902;172;0;Python;86.16%
tw93/Mole;38455;164;123;28;0;Shell;100.00%
preactjs/preact;38453;3829;1993;240;1;JavaScript;96.89%
microsoft/qlib;38310;2030;750;23;22;Python;73.06%
google/googletest;38303;3873;813;11;0;C++;84.14%
PatrickJS/awesome-cursorrules;38282;535;70;0;132;MDX;15.69%
gto76/python-cheatsheet;38271;2962;0;0;2;Python;100.00%
PhilJay/MPAndroidChart;38227;4333;191;44;274;Java;58.37%
lapce/lapce;38110;2950;1177;35;1;Rust;59.67%
istio/istio;38079;3394;29471;423;0;Go;98.06%
BerriAI/litellm;38049;953;9745;1000;0;Python;91.20%
halo-dev/halo;38040;2907;2955;250;0;Java;94.87%
Kong/insomnia;38008;3604;3752;547;0;TypeScript;81.77%
ant-design/ant-design-pro;37985;3115;1025;26;1;TypeScript;98.21%
naptha/tesseract.js;37898;3908;204;57;6;JavaScript;95.78%
nextlevelbuilder/ui-ux-pro-max-skill;37774;96;60;14;4;Python;39.71%
dotnet/aspnetcore;37767;4378;18604;275;0;C#;90.81%
denysdovhan/wtfjs;37737;3156;125;25;353;JavaScript;81.36%
rapid7/metasploit-framework;37662;5302;11661;0;0;Ruby;92.61%
httpie/cli;37645;5123;406;47;443;Python;79.45%
FreeCodeCampChina/freecodecamp.cn;37639;3444;55;0;963;CSS;75.81%
pola-rs/polars;37636;2122;12726;248;0;Rust;79.75%
huihut/interview;37559;2947;36;0;194;C++;98.48%
ToolJet/ToolJet;37549;1802;7743;452;0;JavaScript;88.05%
RSSNext/Folo;37522;697;1432;93;1;TypeScript;85.11%
code-yeongyu/oh-my-opencode;37517;93;635;147;0;TypeScript;80.89%
vlang/v;37477;2583;13080;302;0;V;89.17%
outline/outline;37460;3574;4171;157;0;TypeScript;99.00%
LAION-AI/Open-Assistant;37443;1179;1616;127;566;Python;86.21%
TeamNewPipe/NewPipe;37430;3836;1795;140;4;Java;86.90%
chatchat-space/Langchain-Chatchat;37422;1071;621;31;116;Python;99.83%
google-research/google-research;37403;2709;29;0;1;Jupyter Notebook;24.17%
TencentARC/GFPGAN;37392;1813;14;8;587;Python;26.52%
CorentinTh/it-tools;37376;2161;493;10;1;Vue;32.44%
eugenp/tutorials;37351;4693;13718;0;1;Java;97.72%
NervJS/taro;37333;2889;3465;207;0;TypeScript;87.67%
vnpy/vnpy;37301;4022;1063;66;50;Python;99.45%
kilimchoi/engineering-blogs;37272;3918;681;0;562;Ruby;77.32%
spacedriveapp/spacedrive;37245;1621;1957;28;27;Rust;97.74%
llvm/llvm-project;37243;3376;75468;149;0;LLVM;69.68%
exacity/deeplearningbook-chinese;37205;3376;16;7;2285;TeX;68.47%
0voice/interview_internal_reference;37196;2461;35;0;135;Python;36.54%
paperless-ngx/paperless-ngx;37172;1482;2999;143;0;Python;100.00%
docker/compose;37135;4470;3755;275;0;Go;99.46%
alibaba/arthas;37126;2745;582;68;1;Java;82.35%
openai/gym;37078;3599;999;19;510;Python;93.86%
ManimCommunity/manim;37063;2117;2041;33;2;Python;78.42%
huiyadanli/RevokeMsgPatcher;37040;2419;12;21;33;C#;95.17%
satwikkansal/wtfpython;36911;3111;113;2;51;Python;70.54%
AobingJava/JavaFamily;36901;2306;2;0;123;Unknown;90.91%
babysor/MockingBird;36878;1672;82;1;2;Python;46.52%
inkonchain/docs;36829;667;407;0;2;MDX;35.14%
drawdb-io/drawdb;36829;963;349;0;5;JavaScript;63.50%
exelban/stats;36825;2472;433;321;0;Swift;99.10%
